region,config,seed,eval_source,eval_label,lead_hours,present,target,variant,head,is_tessera,variable,checkpoint_epoch,best_val_loss,nll,crps,mae,rmse,bias,correlation,mean_pred_std,within_1sigma,within_2sigma,pit_chi2_stat,pit_chi2_pvalue,p50,p90,p95,p99,n_predictions,n_test_stations,seasonal_mae_DJF,seasonal_mae_MAM,seasonal_mae_JJA,seasonal_mae_SON
europe,t2m_xlead_snap_bilinear_baseline_wd,123,eval_lead0h,ERA5 (lead 0),0,True,t2m,baseline,gaussian,False,t2m,5,1.8767080681781245,1.7791967391967773,0.8550883531570435,1.1911381483078003,1.6902689933776855,-0.07572252303361893,0.9832686321748286,1.4560067653656006,69.05505050843146,94.16876979000006,19331.907284058885,0.0,0.8446382284164429,2.6459217071533203,3.49971604347229,5.588130950927734,1195048,898,1.217754492361566,1.1799472297196476,1.2364967462119727,1.1273077878254276
europe,t2m_xlead_snap_bilinear_baseline_wd,123,eval_lead6h,Lead +6h,6,True,t2m,baseline,gaussian,False,t2m,5,1.8767080681781245,1.8240432739257812,0.8863415718078613,1.237181305885315,1.7329074144363403,-0.107614666223526,0.9824781598292259,1.480648159980774,67.62715807231174,93.76635917553102,24820.205628560525,0.0,0.8947038650512695,2.724437713623047,3.564582586288452,5.63678503036499,1195048,898,1.2515593539243537,1.2230403884023457,1.2989253284313145,1.1740805036028343
europe,t2m_xlead_snap_bilinear_baseline_wd,123,eval_lead24h,Lead +24h,24,True,t2m,baseline,gaussian,False,t2m,5,1.8767080681781245,1.8562800884246826,0.9125595688819885,1.2720788717269897,1.777391791343689,0.0266458410769701,0.9814751024863599,1.5450069904327393,68.65757693414825,94.00074306638729,5561.041762339253,0.0,0.9206520915031433,2.8047308921813965,3.6617050170898438,5.7403717041015625,1195048,898,1.3063795357113066,1.2546133848276222,1.3303961041097425,1.1930864598911817
europe,t2m_xlead_snap_bilinear_baseline_wd,123,eval_lead72h,Lead +72h,72,True,t2m,baseline,gaussian,False,t2m,5,1.8767080681781245,2.0304815769195557,1.0592986345291138,1.477075219154358,2.0092694759368896,-0.01278006937354803,0.9761796390618955,1.7797900438308716,67.85560077921556,93.55958923825654,6435.492746734858,0.0,1.1095328330993652,3.2115683555603027,4.102182388305664,6.246410846710205,1195048,898,1.5469259078561182,1.444778591444575,1.5183590078526004,1.3897154670688219
europe,t2m_xlead_snap_bilinear_baseline_wd,42,eval_lead0h,ERA5 (lead 0),0,True,t2m,baseline,gaussian,False,t2m,6,1.881838559206218,1.7764781713485718,0.8550045490264893,1.1935832500457764,1.6848368644714355,-0.14075495302677155,0.9833909748469545,1.4805288314819336,69.03019795020786,94.35277913523139,33348.03418440096,0.0,0.8528391718864441,2.6418709754943848,3.4722394943237305,5.535056114196777,1195048,898,1.216443128431123,1.1805046947746998,1.2444119936308573,1.1305499022569396
europe,t2m_xlead_snap_bilinear_baseline_wd,42,eval_lead6h,Lead +6h,6,True,t2m,baseline,gaussian,False,t2m,6,1.881838559206218,1.8271571397781372,0.8898573517799377,1.2451457977294922,1.7311960458755493,-0.19701839983463287,0.9825876051131743,1.5033419132232666,67.21571016394321,93.814056004445,47873.90465989651,0.0,0.9115918874740601,2.727886199951172,3.541330337524414,5.577193737030029,1195048,898,1.2542535252982001,1.2265949009044945,1.3161373840382684,1.1834157305823156
europe,t2m_xlead_snap_bilinear_baseline_wd,42,eval_lead24h,Lead +24h,24,True,t2m,baseline,gaussian,False,t2m,6,1.881838559206218,1.859647512435913,0.9165212512016296,1.2817925214767456,1.7736291885375977,-0.13488532602787018,0.9815900425856682,1.5648475885391235,67.92815016635315,94.09086496944056,25726.550126856826,0.0,0.942702054977417,2.8031697273254395,3.625621795654297,5.6580352783203125,1195048,898,1.3121305767796272,1.2501663444214377,1.3594934548444384,1.2026564900989376
europe,t2m_xlead_snap_bilinear_baseline_wd,42,eval_lead72h,Lead +72h,72,True,t2m,baseline,gaussian,False,t2m,6,1.881838559206218,2.0492544174194336,1.080542802810669,1.5140483379364014,2.0352284908294678,-0.31242087483406067,0.976111445053482,1.7887821197509766,66.07132098459644,93.38478454421914,57471.714287626935,0.0,1.1600908041000366,3.2500829696655273,4.121850967407227,6.223466396331787,1195048,898,1.5862188415646874,1.435716768969737,1.5996491496424914,1.4274398692300605
europe,t2m_xlead_snap_bilinear_baseline_wd,456,eval_lead0h,ERA5 (lead 0),0,True,t2m,baseline,gaussian,False,t2m,6,1.8735088540266638,1.7676881551742554,0.8530190587043762,1.1906609535217285,1.6851811408996582,-0.2333795428276062,0.983598550055107,1.5280870199203491,71.04082848555036,95.2160080599273,46191.80773994015,0.0,0.8448476791381836,2.6482129096984863,3.4780545234680176,5.569218635559082,1195048,898,1.2045365632513751,1.1803610987968856,1.2529260735434247,1.1236640701569935
europe,t2m_xlead_snap_bilinear_baseline_wd,456,eval_lead6h,Lead +6h,6,True,t2m,baseline,gaussian,False,t2m,6,1.8735088540266638,1.8137660026550293,0.8868747353553772,1.2418099641799927,1.732193946838379,-0.28093329071998596,0.9828189267985172,1.5515803098678589,69.32165067846647,94.83393135673211,55983.31673372115,0.0,0.9019660949707031,2.7357351779937744,3.5536465644836426,5.600118637084961,1195048,898,1.241898647885104,1.2260997424251523,1.326193942704022,1.1741512988421319
europe,t2m_xlead_snap_bilinear_baseline_wd,456,eval_lead24h,Lead +24h,24,True,t2m,baseline,gaussian,False,t2m,6,1.8735088540266638,1.8487696647644043,0.9115192294120789,1.2745238542556763,1.7683478593826294,-0.1878156214952469,0.9818140900971452,1.6146434545516968,70.09551080793408,94.99685368286463,28111.61860946171,0.0,0.9318673610687256,2.799553871154785,3.6229891777038574,5.659594535827637,1195048,898,1.2941036182092043,1.246422364383479,1.3639806903209393,1.1923618605523596
