region,model,t2m_mae,t2m_rmse,t2m_crps,wind_mae,wind_rmse,wind_crps,t2m_n_seeds,wind_n_seeds
Europe,None (no Tessera),1.168930,1.672679,0.842635,1.283267,1.874211,0.918214,3,3
Europe,"VAE descriptor, shuffled",1.128098,1.615942,0.810553,1.235835,1.796396,0.892139,3,3
Europe,Patch summary statistics,1.102440,1.583054,0.792422,1.212464,1.766992,0.867263,3,3
Europe,VAE descriptor,1.097660,1.576978,0.789274,1.191303,1.738979,0.860913,3,3
United States,None (no Tessera),1.413230,2.070466,1.028640,1.446321,1.959577,1.037883,3,3
United States,"VAE descriptor, shuffled",1.338812,2.000206,0.976080,1.406347,1.905059,1.010587,3,3
United States,Patch summary statistics,1.315470,1.974663,0.960254,1.364743,1.846921,0.976878,3,3
United States,VAE descriptor,1.298809,1.946319,0.947026,1.361518,1.840611,0.972984,3,3
East Asia,None (no Tessera),1.347193,1.866643,0.973694,1.230897,1.705180,0.881919,3,3
East Asia,"VAE descriptor, shuffled",1.124399,1.563438,0.808492,1.173221,1.627831,0.839972,3,3
East Asia,Patch summary statistics,1.096846,1.532724,0.788217,1.164163,1.620120,0.833392,3,3
East Asia,VAE descriptor,1.096834,1.530142,0.788024,1.163699,1.622274,0.835838,3,3
Southern Africa,None (no Tessera),1.998257,2.749256,1.446695,1.230686,1.645777,0.884700,3,3
Southern Africa,"VAE descriptor, shuffled",1.878615,2.636508,1.367293,1.239469,1.659210,0.889495,3,3
Southern Africa,Patch summary statistics,1.927810,2.664044,1.394309,1.174796,1.587660,0.844533,3,3
Southern Africa,VAE descriptor,1.790929,2.545780,1.313144,1.163530,1.566383,0.835163,3,3
Australia,None (no Tessera),1.573376,2.163527,1.148941,1.422020,1.812268,1.024739,3,3
Australia,"VAE descriptor, shuffled",1.357553,1.980256,1.006251,1.327279,1.727223,0.964060,3,3
Australia,Patch summary statistics,1.313426,1.933012,0.982396,1.265334,1.639341,0.905850,3,3
Australia,VAE descriptor,1.322823,1.922218,0.976819,1.291773,1.689502,0.945429,3,3
All regions,None (no Tessera),1.500197,2.104514,1.088121,1.322638,1.799402,0.949491,3,3
All regions,"VAE descriptor, shuffled",1.365495,1.959270,0.993734,1.276430,1.743144,0.919251,3,3
All regions,Patch summary statistics,1.351199,1.937500,0.983519,1.236300,1.692206,0.885583,3,3
All regions,VAE descriptor,1.321411,1.904287,0.962857,1.234365,1.691550,0.890065,3,3
